medallion,hack_license,vendor_id,payment_type,fare_amount,surcharge,mta_tax,tip_amount,tolls_amount,total_amount,rate_code,pickup_datetime,dropoff_datetime,passenger_count,trip_time_in_secs,trip_distance,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,credit_card
F6F7D02179BE915B23EF2DB57836442D,088879B44B80CC9ED43724776C539370,VTS,CRD,12,0.5,0.5,1.75,0,14.75,1,2013-01-13 04:36asdf,2013-01-13 04:46asdf,5,600,3.12,-73.996933,40.720055,-73.993546,40.693043,4024007124352922
BE386D8524FCD16B3727DCF0A32D9B25,4EB96EC9F3A42794DEE233EC8A2616CE,VTS,CRD,12,0.5,0.5,3.12,0,16.12,1,2013-01-13 04:37:00,2013-01-13 04:48:00,2,660,3.39,-74.000313,40.730068,-73.987373,40.768406,5163294842280902
E9FF471F36A91031FE5B6D6228674089,72E0B04464AD6513F6A613AABB04E701,VTS,CRD,5.5,0.5,0.5,1.2,0,7.7,1,2013-01-13 04:41:00,2013-01-13 04:45:00,1,240,1.16,-73.997292,40.720982,-74.000443,40.732376,4532038713619608
89D227B655E5C82AECF13C3F540D4CF4,BA96DE419E711691B9445D6A6307C170,CMT,CSH,6.5,0,0.5,0,0,7,1,2013-01-01 15:11:48,2013-01-01 15:18:10,4,382,1,-73.978165,40.757977,-73.989838,40.751171,
0BD7C8F5BA12B88E0B67BED28BEA73D8,9FD8F69F0804BDB5549F40E9DA1BE472,CMT,CSH,6,0.5,0.5,0,0,7,1,2013-01-06 00:18:35,2013-01-06 00:22:54,1,259,1.5,-74.006683,40.731781,-73.994499,40.75066,
0BD7C8F5BA12B88E0B67BED28BEA73D8,9FD8F69F0804BDB5549F40E9DA1BE472,CMT,CSH,5.5,1,0.5,0,0,7,1,2013-01-05 18:49:41,2013-01-05 18:54:23,1,282,1.1,-74.004707,40.73777,-74.009834,40.726002,
DFD2202EE08F7A8DC9A57B02ACB81FE2,51EE87E3205C985EF8431D850C786310,CMT,CSH,5,0.5,0.5,0,0,6,1,2013-01-07 23:54:15,2013-01-07 23:58:20,2,244,0.7,-73.974602,40.759945,-73.984734,40.759388,
DFD2202EE08F7A8DC9A57B02ACB81FE2,51EE87E3205C985EF8431D850C786310,CMT,CSH,9.5,0.5,0.5,0,0,10.5,1,2013-01-07 23:25:03,2013-01-07 23:34:24,1,560,2.1,-73.97625,40.748528,-74.002586,40.747868,
20D9ECB2CA0767CF7A01564DF2844A3E,598CCE5B9C1918568DEE71F43CF26CD2,CMT,CSH,9.5,0,0.5,0,0,10,1,2013-01-07 15:27:48,2013-01-07 15:38:37,1,648,1.7,-73.966743,40.764252,-73.983322,40.743763,
496644932DF3932605C22C7926FF0FE0,513189AD756FF14FE670D10B92FAF04C,CMT,CSH,6,0,0.5,0,0,6.5,1,2013-01-08 11:01:15,2013-01-08 11:08:14,1,418,0.8,-73.995804,40.743977,-74.007416,40.744343,
0B57B9633A2FECD3D3B1944AFC7471CF,CCD4367B417ED6634D986F573A552A62,CMT,CSH,34,0,0.5,0,4.8,39.3,1,2013-01-07 12:39:18,2013-01-07 13:10:56,3,1898,10.7,-73.989937,40.756775,-73.86525,40.77063,
69D21BD8B40640658F9D37024C10EAC9,ECC89F7839E337CF51D5EDF373849BE2,VTS,CSH,6.5,0,0.5,0,0,7,1,2013-01-13 09:28:00,2013-01-13 09:34:00,3,360,1.22,-73.969887,40.750847,-73.970444,40.761707,
9730AFBE8E88604CA7BE8224C3D06F16,C4D88EB2E9D0B719C77A2247972BCF4D,VTS,CRD,7,0,0.5,1.75,0,9.25,1,2013-01-13 09:29:00,2013-01-13 09:36:00,2,420,1.43,-73.981972,40.762592,-73.999573,40.759167,5202342844425109
790BCC5E600B53689C5920C40F9EECDD,73A3582E68C0BE8BAD8F19F61D65C36C,VTS,CSH,5,0,0.5,0,0,5.5,1,2013-01-13 09:38:00,2013-01-13 09:42:00,1,240,0.89,-73.971687,40.797333,-73.967064,40.807568,
CEEE11949C17DF1A1A742EDB90FA8C59,C361A55D95993FB3E20BB25E0A0FBC78,VTS,CRD,12,0.5,0.5,2.5,0,15.5,1,2013-01-13 02:07:00,2013-01-13 02:16:00,5,540,3.63,-73.982124,40.731152,-73.954063,40.77449,5222071822065944
8D470DE5FF33D546CD369C1803371898,5CB6D097928C9010023A94D1DC56E418,VTS,CRD,4,0.5,0.5,0.9,0,5.9,1,2013-01-13 02:14:00,2013-01-13 02:17:00,2,180,0.52,-73.982964,40.722721,-73.978264,40.729111,5519156381902389
